year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
2016,Video Games and Accessories,25,9,16.0,177.78,998,2.51,0,13
2017,Video Games and Accessories,13,25,-12.0,-48.0,1104,1.18,0,6
2018,Video Games and Accessories,4,13,-9.0,-69.23,1065,0.38,0,13
2019,Video Games and Accessories,8,4,4.0,100.0,1106,0.72,0,9
2022,Video Games and Accessories,12,8,4.0,50.0,1217,0.99,0,5
2023,Video Games and Accessories,6,12,-6.0,-50.0,1141,0.53,0,7
2024,Video Games and Accessories,2,6,-4.0,-66.67,1225,0.16,0,8
2021,VIP Add-On Packs,3,0,0.0,0.0,1220,0.25,1,8
2022,VIP Add-On Packs,1,3,-2.0,-66.67,1217,0.08,0,5
2023,VIP Add-On Packs,6,1,5.0,500.0,1141,0.53,0,7
2018,Xtra,8,0,0.0,0.0,1065,0.75,1,13
2019,Xtra,5,8,-3.0,-37.5,1106,0.45,0,9
2020,Xtra,4,5,-1.0,-20.0,1116,0.36,0,11
2021,Xtra,2,4,-2.0,-50.0,1220,0.16,0,8
